Generic Name,Brand,FUKKM System/Group,MDC,NEML,Method of Purchase,Category,Indications,Prescribing Restrictions,Dosage,Adverse Reaction,Contraindications,Interactions,Precautions,is_quota
BUDESONIDE 160MCG AND FORMOTEROL 4.5MCG INHALATION,,,,,,A/KK,"Category of prescriber A/KK: Regular treatment of asthma where use of a combination (inhaled corticosteroid and long-acting beta2-agonist) is appropriate:- Patients not adequately controlled with inhaled corticosteroids and ""as needed"" inhaled short-acting beta2-agonists. or - Patients already adequately controlled on both inhaled corticosteroids and long- acting beta2-agonists.","70 PT (KKTPG, KKTD, KKJ),  60 PT (KKBC, KKB), 40  PT (KKS, KKTS)  (KUOTA)","Asthma Maintenance therapy Adult ≥18 yr 160 mcg to 320 mcg bd. Some patients may require up to a max of 640 mcg bd. Adolescent 12-17 yr 160 mcg to 320 mcg bd. Childn 6-11 yr 160 mcg bd, <6 yr Not recommended. Maintenance & relief Adult and adolescent ≥12 yr 320 mcg/day either as 160 mcg bd or 320 mcg od either morning or evening. For some patients a maintenance dose of 320 mcg bd may be appropriate. Patients should take 160 mcg additional inhalation as needed in response to symptoms. If symptoms persist after a few minutes, an additional inhalation should be taken. Not more than 960 mcg should be taken on any single occasion. A total daily dose of more than 1280 mcg is not normally needed, however a total daily dose of up to 1920 mcg could be used for a limited period. Patients using more than 1280 mcg daily should seek medical advice, should be reassessed & their maintenance therapy reconsidered. Children & adolescent <12 yr: Not recommended.",,,,,
SALMETEROL 50MCG & FLUTICASONE PROPIONATE 250MCG INHALATION (SERITIDE),,,,,,A/KK,Category of prescriber A/KK: Regular treatment of reversible obstructive airways diseases including asthma. Category of prescriber A*: Chronic obstructive pulmonary disease including chronic bronchitis and emphysema,,i) ADULT and CHILD more than 12 years : 1 puff twice daily.,,,,,
GABAPENTIN 300MG CAPSULE,,,,,,A/KK,"CATEGORY A/KK: Treatment of various types of neuropathic pain, both peripheral (which includes diabetic neuropathy, post-herpetic neuralgia, trigeminal neuralgia) in adult more than 18 years.",PAIN FREE CLINIC ONLY ,"900-3600mg/day. Therapy may be initiated by administered 300mg TDS on day 1, or by titrating the dose as: 300mg once on day 1, 300mg BD on day 2, 300mg TDS on day 3. Thereafter, may be increased in 3 equally divided doses up to max 3600mg/day.",,,,,
PARACETAMOL 250MG/5ML SYRUP,,,,,,C+,Mild to moderate pain and pyrexia,,CHILD: 6 - 12 years: 250 - 500 mg per dose. Repeat every 4 - 6 hours when necessary. Maximum of 4 doses in 24 hours,,,,,
PARACETAMOL 125MG SUPPOSITORY,,,,,,C+,Symptomatic relief of fever and post operative pain whom cannot tolerate oral preparations.,,"ADULT & CHILDREN more than 12 years old: 500mg - 1g every 4-6 hours CHILD 6 - 12 years : 250 - 500 mg; 1 - 5 years : 125 - 250 mg; 3 - 11 months : 80 mg inserted every 4 - 6 hours if necessary, maximum 4 doses in 24 hours. INFANTS under 3 months should not be given Paracetamol unless advised by doctor; a dose of 10 mg/kg (5 mg/kg if jaundiced) is suitable.",,,,,
PARACETAMOL 250MG SUPPOSITORY,,,,,,B,,,,,,,,
PARACETAMOL 500MG TABLET,,,,,,C+,Mild to moderate pain and pyrexia,,"ADULT: 500 - 1000 mg every 4 - 6 hours, maximum of 4g daily.",,,,,
MORPHINE SULPHATE 10MG/ML INJECTION,,,,,, 1 - 12 months: 0.2 mg/kg body weight,For moderate to severe pain especially that associated with neoplastic disease, 1 - 5 years: 2.5 - 5 mg ,ADULT: 5-20mg SC or IM every 4 hours in terminal pain CHILD: Up to 1 month: 0.15 mg/kg body weight,,,,,
TRAMADOL HCL 50MG CAPSULE,,,,,,A/KK,"Moderate to severe acute or chronic pain (eg. Post-operative pain, chronic cancer pain and analgesia/pain relief for patients with impaired renal function)",,"ADULT: 50mg initially, can take another 50mg after 30 - 60 min if pain not relieved. Max 400 mg daily. CHILD: 1mg/kg/dose repeated every 6 hours (Max: 2mg/kg/dose and 100mg/dose)",,,,,
KETOPROFEN 2.5% GEL,,,,,,A/KK,"As a short term treatment for traumatic lesions, sprains, tendinitis, oedema, bruises",,Apply onto affected areas 2-4 times daily up to 10 days.,,,,,
DICLOFENAC SODIUM 50MG TABLET,,,,,,B,Pain and inflammation in rheumatic disease,,ADULTS: Initial dose of 150 mg daily. Mild or long term: 75 - 150 mg daily in 2 to 3 divided doses after food. Maximum 200mg/day. PAEDS more than 6 months : 1 - 3 mg/kg body weight daily in divided doses. Maximum 3mg/kg/day (Max 150mg/day).,,,,,
DICLOFENAC SODIUM 75MG/3ML INJECTION,,,,,,A/KK,Pain and inflammation in rheumatic disease,,IM 75 mg once daily (2 times daily in severe cases) for not more than 2 days. Max 150mg/day. Not suitable for children.,,,,,
ETORICOXIB 90 MG TABLET,,,,,,A/KK,"i)Acute and chronic treatment of signs and symptoms of osteoarthritis (OA) and rheumatoid arthritis (RA) 
ii)Acute gouty arthritis iii)Acute pain",10 PT/KK,"i) OA: 60 mg once daily. RA: 60mg once daily and may be increased to 90mg once daily if needed.Once the patient is stabilized, down-titration to 60mg once daily may be appropriate. 
ii & iii) Acute gouty arthritis and acute pain: 120 mg once daily (Given the exposure to COX-2 inhibitors, doctors are advised to use the lowest effective dose for the shortest possible duration of treatment)",,,,,
IBUPROFEN 200MG TABLET,,,,,,B,Pain and inflammation in rheumatic disease,,"Dosage: ADULT : 200 - 400 mg 3 times daily after food, maximum 3.2 g daily. CHILD : 30-50 mg/kg body weight daily in divided doses, maximum 2.4g daily. Lowest effective dose for the shortest possible duration.",,,,,
MEFENAMIC ACID 250MG CAPSULE,,,,,,C,Mild to moderate pain,,ADULT: 250 - 500 mg 3 times daily after meals. CHILD over 6 months: 6.5 - 25 mg/kg daily 3 - 4 times daily for not longer than 7 days except in juvenile arthritis,,,,,
COLCHICINE 0.5MG TABLET,,,,,,B,"i) Acute gout and prophylaxis of recurrent gout. ii) Leucocytoclastic Vasculitis either cutaneous or systemic involvement, Behcet's syndrome, Urticarial vasculitis, Systemic sclerosis, Sweet's syndrome and severe recalcitrant aphthous stomatitis",,"i) Initial dose, 1 mg, then 0.5 mg after 1 hour. No further tablets should be taken for 12 hours. After 12 hours, treatment can resume if necessary with a maximum dose of 500 micrograms (1 tablet) every 8 hours until symptoms are relieved. The course of treatment should end when symptoms are relieved or when a total of 6 mg (12 tablets) has been taken. No more than 6 mg (12 tablets) should be taken as a course of treatment. After completion of a course, another course should not be started for at least 3 days (72 hours). ii) 0.5 mg 1-3 times daily depends on disease and severity, up to a maximum of 3 mg/day.",,,,,
BACLOFEN 10 MG TABLET,,,,,,B,Spasticity of the skeletal muscle,,"ADULT: 5 mg 3 times daily. Max: 80 mg daily. CHILD: 0.75 - 2 mg/kg daily (more than 10 years, maximum: 2.5 mg/kg daily)",,,,,
ALPRAZOLAM 0.25MG TABLET,,,,,,A/KK,Anxiety disorders,,"0.25 - 0.5 mg 3 times daily (elderly or delibitated 0.25 mg 2-3 times daily), increased if necessary to a total dose of 3 mg/day. Not recommended for children",,,,,
CHLORPROMAZINE HCL 100MG TABLET,,,,,,B,Psychosis mania and agitation,,ADULT : Initial dose - 25 mg 3 times daily according to response up to 1 g daily. PAEDIATRIC: Up to 5 years: 0.5 mg/kg body weight every 4 - 6 hours (Maximum 40 mg daily). CHILD 6 - 12 years: A third to half adult dose (Maximum 75 mg daily),,,,,
FLUPENTHIXOL DECANOATE DEPOT 20MG/ML INJ,,,,,,B,Chronic psychoses,,"By deep IM, initial test dose of 5-20 mg, then after at least 7 days. 20 - 40 mg repeated at intervals of 2 - 4 weeks. Maximum 400 mg weekly. Usual maintenance dose 50 mg every 4 weeks to 300 mg every 2 weeks. ELDERLY, initially quarter to half adult dose. CHILD not recommended. Deep IM recommended. Not for IV use",,,,,
FLUPHENAZINE DECANOATE 25MG/ML INJECTION,,,,,,B,Long term management of psychotic disorders,,"By deep IM : Test dose 12.5 mg (6.25 mg in ELDERLY), then after 4-7 days 12.5 mg-100 mg repeated at intervals of 14-35 days, adjusted according to response. CHILD not recommended",,,,,
HALOPERIDOL 1.5MG TABLET,,,,,,B,"i) Psychotic disorder – management of acute and chronic psychotic disorders including schizophrenia, manic states and drug-induced psychoses
ii) Management of aggressive and agitated patients, including patients with chronic brain syndrome or mental retardation.
iii) Gilles de la Tourette’s syndrome - for the control of tics and vocalisations of Tourette’s syndrome in children and adults.",,"Adult:†0.5-5 mg bid/tid, may increase up to 100 mg daily in severe or resistant cases. Usual maintenance: 3-10 mg daily.†Child: >3 yr: Initially, 25-50 mcg/kg daily in 2 divided doses, increased gradually if necessary. Max: 10 mg/day.",,,,,
HALOPERIDOL 5MG TABLET,,,,,,B,,,,,,,,
HALOPERIDOL 5MG/ML INJECTION,,,,,,B,"i) Management of acute psychotic disorders including schizophrenia, manic states, and drug-induced psychosis.
ii) Management of aggressive and agitated patients, including patients with chronic brain syndrome or mental retardation.",,"ADULT: IM or IV , 2 mg - 10 mg then every 4 - 8 hours according to response to total maximum 18 mg daily. Use in child is not recommended",,,,,
RISPERIDONE 1 MG TABLET,,,,,,B,"i) Schizophrenia, including first episode psychosis, acute schizophrenic exacerbations, chronic schizophrenia and other psychotic conditions

ii) Short-term symptomatic treatment (up to 6 weeks) of persistent aggression in conduct disorder in children from the age of 5 years and adolescents with subaverage intellectual functioning or mental retardation.",,"i) ADULT: Initial dose: 2 mg/day. Maintenance dose: 4 to 6 mg. Max: 16mg/day CHILD: Not recommended ELDERLY: Initial dose: 0.5 mg twice daily. Maintenance: 1 to 2 mg twice daily. ii) CHILD & ADOLESCENTS, 5-18 years ≥ 50 kg: Initial - 0.5 mg once daily Optimum dose: 1mg once daily < 50 kg: Initial - 0.25 mg once daily Optimum dose: 0.5mg once daily Dosing should be individualized according to product insert.",,,,,
RISPERIDONE 2 MG TABLET,,,,,,B,Schizophrenia,,ADULT: Initial dose: 2 mg/day. Maintenance dose: 4 to 6 mg. Max: 16mg/day CHILD: Not recommended ELDERLY: Initial dose: 0.5 mg twice daily. Maintenance: 1 to 2 mg twice daily. Dosing should be individualized according to product insert.,,,,,
SULPIRIDE 200MG TABLET,,,,,,B,Acute and chronic psychotic disorders,,200-1000mg daily,,,,,
ZUCLOPENTHIXOL DECANOATE 200 MG/ML INJECTION,,,,,,B,"Maintenance treatment of schizophrenia and other psychoses, especially with symptoms such as hallucinations, delusions and thought disturbances along with agitation, restlessness, hostility and aggressiveness in patients not responding to available standard drugs",,By deep IM injection test dose 100 mg followed after 7 - 28 days by 100 - 200 mg or more followed by 200 - 400 mg at intervals of 2 - 4 weeks adjusted according to response. Maximum 600 mg weekly. Child not recommended,,,,,
AMITRIPTYLINE HCL 25MG TABLET,,,,,,B,"i) Depression
ii) Nocturnal enuresis where organic pathology has been excluded",,i) Initial: 25mg 3 times a day in the evening Increase gradually in the late evening or at bedtime if necessary up to a maximum of 150mg per day Hospitalised patient: 100mg per day Increase gradually to 200-300mg per day ii) CHILD 6 YEARS AND UNDER: 10mg at bedtime CHILD OVER 6 YEARS Initial: 10mg at bedtime Increase gradually if necessary up to a maximum of 25mg at bedtime Not recommended for treatment of depression in children under 12 years of age. Dosing is individualised and according to product insert/ protocol.,,,,,
ESCITALOPRAM 10MG TABLET,,,,,,B,i) Major depression ii) Treatment of panic disorder with or without agoraphobia iii) Treatment of social anxiety disorder (social phobia) iv) Treatment of obsessive-compulsive disorder (OCD) v) Treatment of generalised anxiety disorder,,"i) Initial: 10mg once daily. Increase gradually if necessary up to a maximum of 20mg daily ii) Initial: 5mg daily for the first week and then increase to 10mg daily Increase if necessary up to a maximum of 20mg daily ELDERLY Initial: half the adult dose, lower maximum dose should be considered iii) Usual dose: 10mg once daily Adjust as necessary based on patient response to either 5mg or up to a maximum of 20mg daily iv) & v) Usual dose: 10mg once daily Adjust as necessary based on patient response up to a maximum of 20mg daily Dosing is individualised and according to product insert/ protocol. Should not be used in patients under 18 years old. If, based on clinical need, a decision to treat is nevertheless taken; the patient should be carefully monitored for appearance of suicidal symptoms.",,,,,
FLUVOXAMINE 50MG TABLET,,,,,,B,Depressive disorder,,"For depression, initially 50 - 100 mg daily in the evening, increased if necessary to 300 mg daily (over 150 mg in divided doses); usual maintenance dose 100 mg daily. CHILD and ADOLESCENT under 18 years not recommended",,,,,
MIDAZOLAM 5MG/ML INJECTION,,,,,,A/KK,For induction of intubation and sedation post-intubation,5 VIAL/KK (EMERGENCY TROLLEY ITEM ONLY),"Induction by slow IV infusion 200 - 300 mcg/kg (ELDERLY 100 - 200 mcg/kg. CHILD over 7 years 150 - 200 mcg/kg); Maximum: 0.35mg/kg.
Sedation: 0.03 - 0.2 mg/kg/hour",,,,,
SERTRALINE HCL 50MG TABLET,,,,,,B,"Major depression, obsessive-compulsive disorder (OCD), panic disorder",,"Depression, obsessive-compulsive disorder: 50 mg/day, may increase in steps of 50mg at weekly interval, max:200mg/day. Panic disorder: Initially 25 mg/day. After 1 week, increase dose to 50 mg/day. All dose changes should be made at intervals of more than 1 week, max: 200 mg/day",,,,,
PIZOTIFEN 0.5MG TABLET,,,,,,B,Prophylactic treatment of vascular headache,,"Starting with 0.5mg daily, the dosage should be progressively increased. The average maintenance dosage is 1.5mg daily in divided doses or as a single dose at night. Max dose: 4.5 mg/day and 3 mg/dose. Child: >2 yr: Up to 1.5 mg daily in divided doses. Max dose: 1 mg/dose.",,,,,
CARBAMAZEPINE 200MG TABLET,,,,,,B,i) Epilepsy ii) Trigeminal neuralgia,,"i) ADULT: 100 - 200 mg 1 - 3 times daily increased gradually to usual dose of 0.8 - 1.2 g daily in divided doses. CHILD: Up to 1 year: 100 - 200 mg daily; 1 - 5 yrs: 200 - 400 mg daily; 5 - 10 years: 400 - 600 mg daily; 10 - 15 years: 0.6 - 1 g daily ii) The initial dosage of 200 to 400mg should be slowly raised daily until freedom from pain is achieved (normally at 200mg 3 to 4 times daily). The dosage should then be gradually reduced to the lowest possible maintenance level. In elderly patients, an initial dose of 100mg twice daily is recommended.",,,,,
CLONAZEPAM 2MG TABLET,,,,,,B,i) Epilepsy ii) Non-epileptic myoclonus,,"i) & ii) ADULT: Initial dose should not exceed 1.5mg/day divided into 3 doses, may be increased in increments of 0.5mg every 3 days until seizures are controlled. Maintenance dose: 3-6mg/day. Maximum: 20mg/day. CHILD up to 10 years: initial dose 0.01-0.03 mg/kg/day in 2-3 divided doses, increased by no more than 0.25-0.5mg every third day, maximum 0.2mg/kg/day. CHILD 10-16 years: initial dose 1-1.5mg/day in 2-3 divided dose, may be increased by 0.25-0.5mg every third day until individual maintenance dose of 3-6mg/day is reached.",,,,,
PHENOBARBITONE 30MG TABLET,,,,,,B,Epilepsy,,ADULT: 60 - 180 mg daily on. CHILD: Up to 8 mg/kg daily,,,,,
PHENYTOIN SODIUM 100MG CAPSULE,,,,,,B,Epilepsy,, ADULT and CHILD more than 6 years: 300-400 mg/day in 3 - 4 divided doses before meals. Maximum: 600 mg/day. CHILD: Initially 5 mg/kg/day in 2 - 3 divided doses. Maintenance: 4 - 8 mg/kg/day. Maximum: 300 mg/day,,,,,
PHENYTOIN SODIUM 30 mg CAPSULE,,,,,,B,,,,,,,,
SODIUM VALPROATE 200MG TABLET,,,,,,B,i. Epilepsy ii. Treatment and prevention of mania associated with bipolar disorders,,"i. Epilepsy: ADULT: Initially 600 mg/day in 2 - 3 divided doses, dose may be increased by 200 mg at 3-day intervals to max 2.5 g/day. Usual maintenance dose: 1-2 g/day (20-30 mg/kg/day). CHILD: More than 20 kg. Initially 400 mg/day with spaced increases until control is achieved (usually 20-30 mg/kg/day), dose may be increased to 35 mg/kg/day. Less than 20 kg 20 mg/kg/day, in severe cases the dose may be increased provided plasma concentration can be monitored. ii. Treatment and prevention of mania associated with bipolar disorders: Adults: The recommended initial dose is 1000mg/day. The dose should be increased as rapidly as possible to achieve the lowest therapeutic dose, which produces the desired clinical effects. The recommended maintenance dosage for the treatment of bipolar disorder is between 1000mg and 2000mg daily. In exceptional cases, the dose may be increased to not more than 3000mg daily.",,,,,
DIAZEPAM 10MG/2ML INJECTION,,,,,,B,"i) Status epilepticus 
ii) Skeletal muscle spasm 
iii) Anxiety disorders",,"i) ADULT: initial dose 10-20mg IV, in the following hours 20mg IM or by intravenous drip infusion as necessary. CHILD 2 to 5 years of age: slow IV 0.2 - 0.5mg every two to five minutes up to a maximum of 5mg. If necessary, dose can be repeated in two to four hours. CHILD 5 years and older: slow IV 1mg every two to five minutes up to a maximum of 10mg. If necessary, dose can be repeated in two to four hours. ii) ADULT: 10mg once or twice IV. CHILD 2 to 5 years of age: IM or IV, 1 to 2mg the dosage being repeated every three to four hours as needed. CHILD 5 years and older: IM or IV, 5 to 10mg, the dosage being repeated every three to four hours as needed. iii) ADULT: 10-20mg three times daily IM or IV until acute symptoms subside.",,,,,
DIAZEPAM 5MG RECTAL SOLUTION,,,,,,B,i) Status epilepticus ii) Skeletal muscle spasm,,"Status epilepticus - ADULT: 0.5 mg/kg repeated after 12 hours if necessary. CHILD (febrile convulsions, prolonged or recurrent): 0.5 mg/kg (maximum 10 mg), repeated if necessary. Not recommended for children below 2 years(night terrors), 1 - 5 mg at bedtime",,,,,
BENZHEXOL 2MG TABLET,,,,,,B,"i) Symptomatic treatment of paralysis agitans and of parkinsonism, arteriosclerotic, idiopathic, or post-encephalitic origin
ii) Alleviate extrapyramidal syndrome induced by phenothiazine derivatives or reserpine
iii) Spasmodic torticollis, facial spasms and other dyskinesia",,"i) & iii) Initial: 1-2mg daily Maintenance: Gradual increment to 6-10mg daily according to response 
ii) 5-15mg daily Dosing is individualised and according to product insert / protocol.",,,,,
LEVODOPA 250MG & CARBIDOPA 25MG TABLET,,,,,,B,Parkinson's disease,,"Patients not receiving Levodopa before, initially 100 - 125 mg 3 - 4 times daily adjusted according to response. Maintenance: 0.75 - 2 g in divided doses. In patients previously treated with Levodopa the dose should be about 20 - 25% of the dose previous being taken",,,,,
LEVODOPA 100MG & CARBIDOPA 25MG TABLET,,,,,,B,,,,,,,,
LEVODOPA 200MG & BENSERAZIDE 50MG TABLET,,,,,,B,Parkinson's Disease,,"nitial: 100/25 mg 1-2 times/day, increase every 3-4 days until therapeutic effect, optimal dosage: 400/100 mg to 800/200 mg/day divided into 4-6 doses. Dose: 200/50 mg used only when maintenance therapy is reached and not to exceed levodopa 1000-1200 mg/benserazide 250-300 mg per day",,,,,
SELEGILINE HCL 5MG TABLET,,,,,,A*,Only for treatment of late stage Parkinsonism with on and off phenomenon,,5 mg twice daily at breakfast and lunch. Maximum 10 mg/day,,,,,
METHADONE 5MG/ML SYRUP,,,,,,A/KK,Detoxification treatment or maintenance treatment of narcotic addiction.,,"Initial 10-20mg per day, increasing by 10-20mg per day until there are no signs of withdrawal or intoxication. Usual dose 40-60mg/day",,,,,
NICOTINE 2MG GUM,,,,,,A/KK,"For the treatment of tobacco dependence by relieving nicotine withdrawal symptoms, thereby facilitating smoking cessation in smokers motivated to quit.",,"Smokes ≤ 20 sticks/day, chew 2mg gum.
Smokes ≥ 20 sticks/day,chew 4 mg gum. (MAX 24 pieces /day for up to 12 week.)",,,,,
NICOTINE 4MG GUM,,,,,,A/KK,"For the treatment of tobacco dependence by relieving nicotine withdrawal symptoms, thereby facilitating smoking cessation in smokers motivated to quit.",,"Smokes ≤ 20 sticks/day, chew 2mg gum.
Smokes ≥ 20 sticks/day,chew 4 mg gum. (MAX 24 pieces /day for up to 12 week.)",,,,,
NICOTINE 10MG/16HR TRANSDERMAL PATCH,,,,,,A/KK,"For the treatment of tobacco dependence by relieving nicotine withdrawal symptoms, thereby facilitating smoking cessation in smokers motivated to quit.",,"The patch should be apply to an intact area of the skin upon waking up in the morning and removed at bedtime.
Heavy smoker (those smoking 15 or more cigarettes in a 24-hour period):
Step 1: 25mg/16 hours patch and use one patch daily for 8 weeks.
Step 2: One 15mg/16hours patch should be daily for 2 weeks
Step 3: One 10mg/16 hours patch daily for 2 weeks.
Light smokers (those smoking less than 15 cigarettes in a 24-hour period):
Step 1: 15mg/16hours patch for 8 weeks
Step 2: 10mg/16hours for the final 4 weeks.
Combination therapy with the patch (Flexible smoking cessation format) for fast relief of cravings in:
i) Highly dependent smokers; or
ii) Smokers who experience breakthrough cravings; or
iii) Those who have failed single NRT treatment",,,,,
NICOTINE 15MG/16HR TRANSDERMAL PATCH,,,,,,A/KK,"For the treatment of tobacco dependence by relieving nicotine withdrawal symptoms, thereby facilitating smoking cessation in smokers motivated to quit.",,"The patch should be apply to an intact area of the skin upon waking up in the morning and removed at bedtime.
Heavy smoker (those smoking 15 or more cigarettes in a 24-hour period):
Step 1: 25mg/16 hours patch and use one patch daily for 8 weeks.
Step 2: One 15mg/16hours patch should be daily for 2 weeks
Step 3: One 10mg/16 hours patch daily for 2 weeks.
Light smokers (those smoking less than 15 cigarettes in a 24-hour period):
Step 1: 15mg/16hours patch for 8 weeks
Step 2: 10mg/16hours for the final 4 weeks.
Combination therapy with the patch (Flexible smoking cessation format) for fast relief of cravings in:
i) Highly dependent smokers; or
ii) Smokers who experience breakthrough cravings; or
iii) Those who have failed single NRT treatment",,,,,
AMOXYCILLIN 500MG & CLAVULANATE 125MG TAB,,,,,,A/KK,"Infections due to beta-lactamase producing strain where amoxicillin alone is not appropriate. Respiratory tract, skin, soft tissue, GUT infection, septicaemia, peritonitis, post-operative infection & osteomyelitis",,ADULT & CHILD more than 12 years: Mild to moderate infections: 625 mg twice daily,,,,,
AMOXYCILLIN 500MG CAPSULE,,,,,,B,Infections caused by susceptible strains of gram positive and gram negative organisms,,ADULT: 250 - 500 mg 3 times daily. CHILD: 20 - 40 mg/kg/day in divided doses 8 hourly,,,,,
AMOXYCILLIN TRIHYDRATE 250MG/5ML SYRUP,,,,,,,,,CHILD less than 10 years: 125 - 250 mg 8 hourly. CHILD less than 20 kg: 20 - 40 mg/kg/day in 3 - 4 divided doses,,,,,
AZITHROMYCIN MG TABLET,,,,,,,"Category of prescriber A/KK is only approved for indications:
(i) Adult treatment of uncomplicated genital infections due to Chlamydia trichomatis or susceptible Neisseria gonorrhoea.",A/KK,i) 1 g as a single dose,,,,,
BENZATHINE PENICILLIN 2.4 MEGA UNITS INJ,,,,,,B,i) Treatment of mild to moderately severe infections due to Penicillin G-sensitive organisms ii) Treatment of syphillis,,i) ADULT: 1.2 mega units IM ii) For syphillis: 2.4 mega units weekly for 1 - 3 weeks,,,,,
CEFTRIAXONE 0.5G INJ,,,,,,A/KK,Gonorrhoea,,"500mg IM STAT (if BW >150kg, 1g IM STAT)",,,,,
CEFUROXIME AXETIL 125 MG TABLET,,,,,,A/KK,"Upper and lower respiratory tract, genito-urinary tract, skin & soft tissue and urinary tract infections (UTI)",,"ADULT: 250 mg twice daily ;UTI: 125 mg twice daily. CHILD:30 mg/kg/day in 2 divided doses, up to 500 mg daily",,,,,
CEPHALEXIN MONOHYDRATE 250MG CAPSULE,,,,,,B,"i) Respiratory tract infection, urinary tract infection ii) Complicated, recurrent or chronic infections, bronchitis iii) Pneumonia",,i) 250 mg 6 hourly ii) 250 - 500 mg 6 hourly iii) 1 - 1.5 g 3 times daily or 4 times daily. Maximum: 6 g/day Child: 25-100 mg/kg daily in divided doses. Max: 4 g daily.,,,,,
CEPHALEXIN MONOHYDRATE 125MG/5ML SYRUP,,,,,,B,"Respiratory tract infections, ear, nose and throat infections, urinary tract infections, obstetric and gynaecologic infections",,CHILD: 25 - 100 mg/kg/day every 6 hourly. Maximum: 4 g daily,,,,,
CLOXACILLIN SODIUM 500MG CAPSULE,,,,,,B,"Treatment of susceptible bacterial infections, notably penicillinase-producing staphylococci",,ADULT: 250 - 500 mg every 6 hours. Child: 50-100 mg/kg in divided doses every 6 hr.,,,,,
